accessibility	Design, implement, and audit inclusive digital products using WCAG 2.2 Level AA standards.
benchmark-methodology	- Use after competitive-platform-analysis has produced a tiered competitor set.
benchmark-optimization-loop	Use when the user asks to make something faster, try many variants, run recursive optimization, benchmark latency/throughput/cost, or choose the best implementa
blender-motion-state-inspection	Use this skill when inspecting Blender characters, rigs, poses, animation retargeting, ground contact, facing direction, or model-vs-motion alignment where scre
blueprint	- Turn a one-line objective into a step-by-step construction plan for multi-session, multi-agent engineering projects.
brand-discovery	- Use when a brand needs to discover or articulate its identity through structured multi-session interviews.
brand-voice	Build a source-derived writing style profile from real posts, essays, launch notes, docs, or site copy, then reuse that profile across content, outreach, and so
browser-qa	Use this skill to automate visual testing and UI interaction verification using browser automation after deploying features.
bun-runtime	Bun as runtime, package manager, bundler, and test runner.
canary-watch	Use this skill to monitor and verify a deployed URL after releases — checks HTTP endpoints, SSE streams, static assets, console errors, and performance regressi
carrier-relationship-management	Codified expertise for managing carrier portfolios, negotiating freight rates, tracking carrier performance, allocating freight, and maintaining strategic carri
cisco-ios-patterns	Cisco IOS and IOS-XE review patterns for show commands, config hierarchy, wildcard masks, ACL placement, interface hygiene, and safe change-window verification.
ck	Persistent per-project memory for Claude Code.
claude-devfleet	Orchestrate multi-agent coding tasks via Claude DevFleet — plan projects, dispatch parallel agents in isolated worktrees, monitor progress, and read structured 
click-path-audit	Trace every user-facing button/touchpoint through its full state change sequence to find bugs where functions individually work but cancel each other out, produ
clickhouse-io	ClickHouse database patterns, query optimization, analytics, and data engineering best practices for high-performance analytical workloads.
code-tour	Create CodeTour `.tour` files — persona-targeted, step-by-step walkthroughs with real file and line anchors.
codebase-onboarding	Analyze an unfamiliar codebase and generate a structured onboarding guide with architecture map, key entry points, conventions, and a starter CLAUDE.md.
codehealth-mcp	Real-time structural Code Health via CodeScene MCP — review before edits, verify score deltas after changes, gate commits and PRs.
coding-standards	Baseline cross-project coding conventions for naming, readability, immutability, and code-quality review.
competitive-platform-analysis	- Use when scoping a competitive landscape — identifying, categorising, and score-filtering a competitor set before any benchmarking begins.
competitive-report-structure	- Use after benchmark-methodology has produced scored competitor profile cards.
compose-multiplatform-patterns	Compose Multiplatform and Jetpack Compose patterns for KMP projects — state management, navigation, theming, performance, and platform-specific UI.
config-gc	Garbage collection for your Claude Code configuration.
configure-ecc	Interactive installer for Everything Claude Code — guides users through selecting and installing skills and rules to user-level or project-level directories, ve
connections-optimizer	Reorganize the user's X and LinkedIn network with review-first pruning, add/follow recommendations, and channel-specific warm outreach drafted in the user's rea
content-engine	Create platform-native content systems for X, LinkedIn, TikTok, YouTube, newsletters, and repurposed multi-platform campaigns.
content-hash-cache-pattern	Cache expensive file processing results using SHA-256 content hashes — path-independent, auto-invalidating, with service layer separation.
context-budget	Audits Claude Code context window consumption across agents, skills, MCP servers, and rules.
continuous-agent-loop	Patterns for continuous autonomous agent loops with quality gates, evals, and recovery controls.
continuous-learning	[DEPRECATED - use continuous-learning-v2] Legacy v1 stop-hook skill extractor.
continuous-learning-v2	Instinct-based learning system that observes sessions via hooks, creates atomic instincts with confidence scoring, and evolves them into skills/commands/agents.
cost-aware-llm-pipeline	Cost optimization patterns for LLM API usage — model routing by task complexity, budget tracking, retry logic, and prompt caching.
cost-tracking	Track and report Claude Code token usage, spending, and budgets from the local ECC cost-tracker metrics log.
council	Convene a four-voice council for ambiguous decisions, tradeoffs, and go/no-go calls.
cpp-coding-standards	C++ coding standards based on the C++ Core Guidelines (isocpp.github.io).
cpp-testing	Use only when writing/updating/fixing C++ tests, configuring GoogleTest/CTest, diagnosing failing or flaky tests, or adding coverage/sanitizers.
crosspost	Multi-platform content distribution across X, LinkedIn, Threads, and Bluesky.
csharp-testing	C# and .NET testing patterns with xUnit, FluentAssertions, mocking, integration tests, and test organization best practices.
customer-billing-ops	Operate customer billing workflows such as subscriptions, refunds, churn triage, billing-portal recovery, and plan analysis using connected billing tools like S
customs-trade-compliance	Codified expertise for customs documentation, tariff classification, duty optimization, restricted party screening, and regulatory compliance across multiple ju
dart-flutter-patterns	Production-ready Dart and Flutter patterns covering null safety, immutable state, async composition, widget architecture, popular state management frameworks (B
dashboard-builder	Build monitoring dashboards that answer real operator questions for Grafana, SigNoz, and similar platforms.
data-scraper-agent	Build a fully automated AI-powered data collection agent for any public source — job boards, prices, news, GitHub, sports, anything.
data-throughput-accelerator	Use when large data ingestion, backfill, export, ETL, warehouse loading, manifest catch-up, or table synchronization needs to become much faster while preservin
database-migrations	Database migration best practices for schema changes, data migrations, rollbacks, and zero-downtime deployments across PostgreSQL, MySQL, and common ORMs (Prism
deep-research	Multi-source deep research using firecrawl and exa MCPs.
defi-amm-security	Security checklist for Solidity AMM contracts, liquidity pools, and swap flows.
delivery-gate	Stop hook that blocks Claude from finishing until quality checks pass.
deployment-patterns	Deployment workflows, CI/CD pipeline patterns, Docker containerization, health checks, rollback strategies, and production readiness checklists for web applicat
design-system	Use this skill to generate or audit design systems, check visual consistency, and review PRs that touch styling.
django-celery	Django + Celery async task patterns — configuration, task design, beat scheduling, retries, canvas workflows, monitoring, and testing.
django-patterns	Django architecture patterns, REST API design with DRF, ORM best practices, caching, signals, middleware, and production-grade Django apps.
django-security	Django security best practices, authentication, authorization, CSRF protection, SQL injection prevention, XSS prevention, and secure deployment configurations.
django-tdd	Django testing strategies with pytest-django, TDD methodology, factory_boy, mocking, coverage, and testing Django REST Framework APIs.
django-verification	Verification loop for Django projects: migrations, linting, tests with coverage, security scans, and deployment readiness checks before release or PR.
dmux-workflows	Multi-agent orchestration using dmux (tmux pane manager for AI agents).
docker-patterns	Docker and Docker Compose patterns for local development, container security, networking, volume strategies, and multi-service orchestration.
documentation-lookup	Use up-to-date library and framework docs via Context7 MCP instead of training data.
dotnet-patterns	Idiomatic C# and .NET patterns, conventions, dependency injection, async/await, and best practices for building robust, maintainable .NET applications.
dynamic-workflow-mode	Design task-local harnesses, eval gates, and reusable skill extraction for Claude dynamic workflow mode and other adaptive agent harnesses.
e2e-testing	Playwright E2E testing patterns, Page Object Model, configuration, CI/CD integration, artifact management, and flaky test strategies.
ecc-guide	Guide users through ECC's current agents, skills, commands, hooks, rules, install profiles, and project onboarding by reading the live repository surface before
ecc-recipes	Map a described workflow to the right ECC command-GROUP with run-order and stop condition, and browse all command-group recipe families.
ecc-tools-cost-audit	Evidence-first ECC Tools burn and billing audit workflow.
email-ops	Evidence-first mailbox triage, drafting, send verification, and sent-mail-safe follow-up workflow for ECC.
energy-procurement	Codified expertise for electricity and gas procurement, tariff optimization, demand charge management, renewable PPA evaluation, and multi-facility energy cost 
enterprise-agent-ops	Operate long-lived agent workloads with observability, security boundaries, and lifecycle management.
error-handling	Patterns for robust error handling across TypeScript, Python, and Go.
eval-harness	Formal evaluation framework for Claude Code sessions implementing eval-driven development (EDD) principles
evm-token-decimals	Prevent silent decimal mismatch bugs across EVM chains.
exa-search	Neural search via Exa MCP for web, code, and company research.
fal-ai-media	Unified media generation via fal.ai MCP — image, video, and audio.
fastapi-patterns	FastAPI best practices covering project structure, Pydantic v2 schemas, dependency injection, async handlers, authentication, authorization, transactional servi
finance-billing-ops	Evidence-first revenue, pricing, refunds, team-billing, and billing-model truth workflow for ECC.
flox-environments	Create reproducible, cross-platform (macOS/Linux) development environments with Flox, a declarative Nix-based environment manager.
flutter-dart-code-review	Library-agnostic Flutter/Dart code review checklist covering widget best practices, state management patterns (BLoC, Riverpod, Provider, GetX, MobX, Signals), D
foundation-models-on-device	Apple FoundationModels framework for on-device LLM — text generation, guided generation with @Generable, tool calling, and snapshot streaming in iOS 26+.
frontend-a11y	Accessibility patterns for React and Next.js — semantic HTML, ARIA attributes, form labeling, keyboard navigation, focus management, and screen reader support.
frontend-design-direction	Set an ECC-specific frontend design direction for production UI work.
frontend-patterns	Frontend development patterns for React, Next.js, state management, performance optimization, and UI best practices.
frontend-slides	Create stunning, animation-rich HTML presentations from scratch or by converting PowerPoint files.
fsharp-testing	F# testing patterns with xUnit, FsUnit, Unquote, FsCheck property-based testing, integration tests, and test organization best practices.
gan-style-harness	GAN-inspired Generator-Evaluator agent harness for building high-quality applications autonomously.
gateguard	Fact-forcing gate that blocks Edit/Write/Bash (including MultiEdit) and demands concrete investigation (importers, data schemas, user instruction) before allowi
generating-python-installer	Commercial-grade Python installer expert for Windows: Nuitka extreme compilation, dist slimming, DLL footprint analysis, and Inno Setup packaging to ship the sm
git-workflow	Git workflow patterns including branching strategies, commit conventions, merge vs rebase, conflict resolution, and collaborative development best practices for
github-ops	GitHub repository operations, automation, and management.
golang-patterns	Idiomatic Go patterns, best practices, and conventions for building robust, efficient, and maintainable Go applications.
golang-testing	Go testing patterns including table-driven tests, subtests, benchmarks, fuzzing, and test coverage.
google-workspace-ops	Operate across Google Drive, Docs, Sheets, and Slides as one workflow surface for plans, trackers, decks, and shared documents.
growth-log	Use after a complex task, failure, or when reviewing what was learned.
healthcare-cdss-patterns	Clinical Decision Support System (CDSS) development patterns.
healthcare-emr-patterns	EMR/EHR development patterns for healthcare applications.
healthcare-eval-harness	Patient safety evaluation harness for healthcare application deployments.
healthcare-phi-compliance	Protected Health Information (PHI) and Personally Identifiable Information (PII) compliance patterns for healthcare applications.
hermes-imports	Convert local Hermes operator workflows into sanitized ECC skills and release-pack artifacts.
hexagonal-architecture	Design, implement, and refactor Ports & Adapters systems with clear domain boundaries, dependency inversion, and testable use-case orchestration across TypeScri
hipaa-compliance	HIPAA-specific entrypoint for healthcare privacy and security work.
homelab-network-readiness	Readiness checklist for homelab VLAN segmentation, local DNS filtering, and WireGuard-style remote access before changing router, firewall, DHCP, or VPN configu
homelab-network-setup	Practical home and homelab network planning for gateways, switches, access points, IP ranges, DHCP reservations, DNS, cabling, and common beginner mistakes.
homelab-pihole-dns	Pi-hole installation, blocklist management, DNS-over-HTTPS setup, DHCP integration, local DNS records, and troubleshooting broken DNS resolution on a home netwo
homelab-vlan-segmentation	Segmenting home networks into VLANs for IoT, guest, trusted, and server traffic using UniFi, pfSense/OPNsense, and MikroTik — including switch trunk config, fir
homelab-wireguard-vpn	WireGuard VPN server setup, peer configuration, key generation, split tunneling vs full tunnel routing, and remote access to a home network from mobile and lapt
hookify-rules	This skill should be used when the user asks to create a hookify rule, write a hook rule, configure hookify, add a hookify rule, or needs guidance on hookify ru
inherit-legacy-style	Legacy-project style inheritance skill.
intent-driven-development	Turn ambiguous or high-impact product and engineering changes into scoped, verifiable acceptance criteria before or alongside implementation.
inventory-demand-planning	Codified expertise for demand forecasting, safety stock optimization, replenishment planning, and promotional lift estimation at multi-location retailers.
investor-materials	Create and update pitch decks, one-pagers, investor memos, accelerator applications, financial models, and fundraising materials.
investor-outreach	Draft cold emails, warm intro blurbs, follow-ups, update emails, and investor communications for fundraising.
ios-icon-gen	Generate iOS app icons as PNG imagesets for Xcode asset catalogs from SF Symbols (5000+ Apple-native) or Iconify API (275k+ open source icons from 200+ collecti
iterative-retrieval	Pattern for progressively refining context retrieval to solve the subagent context problem
ito-basket-compare	Compare Itô prediction-market baskets against a user's knowledge base, portfolio notes, financial context, watchlist, or research thesis.
ito-data-atlas-agent	Design background Data Atlas style agents for Itô basket research, market discovery, parameter drafting, and human-in-the-loop editing.
ito-market-intelligence	Research prediction-market events, venues, underliers, liquidity, and news context for Itô basket workflows.
ito-trade-planner	Build a non-advisory prediction-market trade planning worksheet for Itô or venue workflows.
java-coding-standards	Java coding standards for Spring Boot and Quarkus services: naming, immutability, Optional usage, streams, exceptions, generics, CDI, reactive patterns, and pro
jira-integration	Use this skill when retrieving Jira tickets, analyzing requirements, updating ticket status, adding comments, or transitioning issues.
jpa-patterns	JPA/Hibernate patterns for entity design, relationships, query optimization, transactions, auditing, indexing, pagination, and pooling in Spring Boot.
knowledge-ops	Knowledge base management, ingestion, sync, and retrieval across multiple storage layers (local files, MCP memory, vector stores, Git repos).
kotlin-coroutines-flows	Kotlin Coroutines and Flow patterns for Android and KMP — structured concurrency, Flow operators, StateFlow, error handling, and testing.
kotlin-exposed-patterns	JetBrains Exposed ORM patterns including DSL queries, DAO pattern, transactions, HikariCP connection pooling, Flyway migrations, and repository pattern.
kotlin-ktor-patterns	Ktor server patterns including routing DSL, plugins, authentication, Koin DI, kotlinx.serialization, WebSockets, and testApplication testing.
kotlin-patterns	Idiomatic Kotlin patterns, best practices, and conventions for building robust, efficient, and maintainable Kotlin applications with coroutines, null safety, an
kotlin-testing	Kotlin testing patterns with Kotest, MockK, coroutine testing, property-based testing, and Kover coverage.
kubernetes-patterns	Kubernetes workload patterns, resource management, RBAC, probes, autoscaling, ConfigMap/Secret handling, and kubectl debugging for production-grade deployments.
laravel-patterns	Laravel architecture patterns, routing/controllers, Eloquent ORM, service layers, queues, events, caching, and API resources for production apps.
laravel-plugin-discovery	Discover and evaluate Laravel packages via LaraPlugins.io MCP.
laravel-security	Laravel security best practices — authentication, authorization, Eloquent safety, CSRF, XSS prevention, API security, and secure deployment configurations.
laravel-tdd	Laravel testing strategies with PHPUnit, Pest, model factories, HTTP tests, Sanctum authentication testing, mocking, and coverage.
laravel-verification	Verification loop for Laravel projects: env checks, linting, static analysis, tests with coverage, security scans, and deployment readiness.
latency-critical-systems	Use for latency-sensitive systems such as realtime dashboards, market data, streaming agents, execution gateways, queues, caches, or HFT-like infrastructure whe
lead-intelligence	AI-native lead intelligence and outreach pipeline.
liquid-glass-design	iOS 26 Liquid Glass design system — dynamic glass material with blur, reflection, and interactive morphing for SwiftUI, UIKit, and WidgetKit.
llm-trading-agent-security	Security patterns for autonomous trading agents with wallet or transaction authority.
logistics-exception-management	Codified expertise for handling freight exceptions, shipment delays, damages, losses, and carrier disputes.
loop-design-check	Design a goal-oriented agent loop, and review it for the ways loops go wrong — spinning and burning tokens, Goodhart-gaming the verifier, or running a wrong ans
mailtrap-email-integration	Guides agents through integrating transactional email sending via Mailtrap's Email API, including sandbox testing, domain verification, and API authentication.
make-interfaces-feel-better	Apply concrete design-engineering details that make interfaces feel polished.
manim-video	Build reusable Manim explainers for technical concepts, graphs, system diagrams, and product walkthroughs, then hand off to the wider ECC video stack if needed.
market-research	Conduct market research, competitive analysis, investor due diligence, and industry intelligence with source attribution and decision-oriented summaries.
marketing-campaign	End-to-end marketing campaign planning and execution.
mcp-server-patterns	Build MCP servers with Node/TypeScript SDK — tools, resources, prompts, Zod validation, stdio vs Streamable HTTP.
messages-ops	Evidence-first live messaging workflow for ECC.
ml-adoption-playbook	End-to-end methodology for AI agents and software engineers to add machine learning algorithms to existing non-ML codebases.
mle-workflow	Production machine-learning engineering workflow for data contracts, reproducible training, model evaluation, deployment, monitoring, and rollback.
motion-advanced	Advanced motion patterns for React / Next.js — drag & drop, gestures, text animations, SVG path drawing, custom hooks, imperative sequences (useAnimate), loader
motion-foundations	Motion tokens, spring presets, performance rules, device adaptation, accessibility enforcement, and SSR safety for React / Next.js using motion/react.
motion-patterns	Production-ready animation patterns for React / Next.js — button, modal, toast, stagger, page transitions, exit animations, scroll, and layout — built on motion
motion-ui	Production-ready UI motion system for React/Next.js.
mysql-patterns	MySQL and MariaDB schema, query, indexing, transaction, replication, and connection-pool patterns for production backends.
nanoclaw-repl	Operate and extend NanoClaw v2, ECC's zero-dependency session-aware REPL built on claude -p.
nestjs-patterns	NestJS architecture patterns for modules, controllers, providers, DTO validation, guards, interceptors, config, and production-grade TypeScript backends.
netmiko-ssh-automation	Safe Python Netmiko patterns for read-only collection, bounded batch SSH, TextFSM parsing, guarded config changes, timeouts, and network automation error handli
network-bgp-diagnostics	Diagnostics-only BGP troubleshooting patterns for neighbor state, route exchange, prefix policy, AS path inspection, and safe evidence collection.
network-config-validation	Pre-deployment checks for router and switch configuration, including dangerous commands, duplicate addresses, subnet overlaps, stale references, management-plan
network-interface-health	Diagnose interface errors, drops, CRCs, duplex mismatches, flapping, speed negotiation issues, and counter trends on routers, switches, and Linux hosts.
nextjs-turbopack	Next.js 16+ and Turbopack — incremental bundling, FS caching, dev speed, and when to use Turbopack vs webpack.
nodejs-keccak256	Prevent Ethereum hashing bugs in JavaScript and TypeScript.
nutrient-document-processing	Process, convert, OCR, extract, redact, sign, and fill documents using the Nutrient DWS API.
nuxt4-patterns	Nuxt 4 app patterns for hydration safety, performance, route rules, lazy loading, and SSR-safe data fetching with useFetch and useAsyncData.
openclaw-persona-forge	为 OpenClaw AI Agent 锻造完整的龙虾灵魂方案。根据用户偏好或随机抽卡， 输出身份定位、灵魂描述(SOUL.md)、角色化底线规则、名字和头像生图提示词。 如当前环境提供已审核的生图 skill，可自动生成统一风格头像图片。 当用户需要创建、设计或定制 OpenClaw 龙虾灵魂时使用。 不适用于：微调
opensource-pipeline	Open-source pipeline: fork, sanitize, and package private projects for safe public release.
orch-add-feature	Orchestrate building a brand-new feature end to end — research, plan, TDD implementation, review, and gated commit — by delegating each phase to the matching EC
orch-build-mvp	Orchestrate bootstrapping a working MVP from a design or spec document — ingest the doc, plan thin vertical slices, scaffold the first end-to-end slice, then TD
orch-change-feature	Orchestrate altering an existing, working feature to new desired behavior — update its tests to the new spec, change the implementation to match, review, and ga
orch-fix-defect	Orchestrate fixing a bug — reproduce it as a failing regression test, fix to green, review, and gated commit — by delegating each phase to the matching ECC agen
orch-pipeline	Shared orchestration engine for the orch-* skill family.
orch-refine-code	Orchestrate a behavior-preserving refactor — confirm tests are green, restructure without changing behavior, keep tests green, review, and gated commit.
parallel-execution-optimizer	Use when the user wants a task done much faster through parallel work, concurrent agents, batched tool calls, isolated worktrees, or many independent verificati
perl-patterns	Modern Perl 5.36+ idioms, best practices, and conventions for building robust, maintainable Perl applications.
perl-security	Comprehensive Perl security covering taint mode, input validation, safe process execution, DBI parameterized queries, web security (XSS/SQLi/CSRF), and perlcrit
perl-testing	Perl testing patterns using Test2::V0, Test::More, prove runner, mocking, coverage with Devel::Cover, and TDD methodology.
plan-canvas	Open plans and HTML artifacts in a local browser canvas where the human annotates elements, chats, and approves or requests changes without leaving the page.
plan-orchestrate	Read a plan document, decompose it into steps, design a per-step agent chain from the ECC catalogue, and emit ready-to-paste /orchestrate custom prompts.
plankton-code-quality	Write-time code quality enforcement using Plankton — auto-formatting, linting, and Claude-powered fixes on every file edit via hooks.
postgres-patterns	PostgreSQL database patterns for query optimization, schema design, indexing, and security.
prediction-market-oracle-research	Research prediction markets as data sources or oracle signals for products, agents, dashboards, and corporate decision intelligence.
prediction-market-risk-review	Review prediction-market, basket, oracle, and trading-agent workflows for compliance, safety, data-quality, privacy, and execution risk.
prisma-patterns	Prisma ORM patterns for TypeScript backends — schema design, query optimization, transactions, pagination, and critical traps like updateMany returning count no
product-capability	Translate PRD intent, roadmap asks, or product discussions into an implementation-ready capability plan that exposes constraints, invariants, interfaces, and un
product-lens	Use this skill to validate the "why" before building, run product diagnostics, and pressure-test product direction before the request becomes an implementation 
production-audit	Local-evidence production readiness audit for shipped apps, pre-launch reviews, post-merge checks, and "what breaks in prod?" questions without sending repo dat
production-scheduling	Codified expertise for production scheduling, job sequencing, line balancing, changeover optimization, and bottleneck resolution in discrete and batch manufactu
project-flow-ops	Operate execution flow across GitHub and Linear by triaging issues and pull requests, linking active work, and keeping GitHub public-facing while Linear remains
prompt-optimizer	- Analyze raw prompts, identify intent and gaps, match ECC components (skills/commands/agents/hooks), and output a ready-to-paste optimized prompt.
python-patterns	Pythonic idioms, PEP 8 standards, type hints, and best practices for building robust, efficient, and maintainable Python applications.
python-testing	Python testing strategies using pytest, TDD methodology, fixtures, mocking, parametrization, and coverage requirements.
pytorch-patterns	PyTorch deep learning patterns and best practices for building robust, efficient, and reproducible training pipelines, model architectures, and data loading.
quality-nonconformance	Codified expertise for quality control, non-conformance investigation, root cause analysis, corrective action, and supplier quality management in regulated manu
quarkus-patterns	Quarkus 3.x LTS architecture patterns with Camel for messaging, RESTful API design, CDI services, data access with Panache, and async processing.
quarkus-security	Quarkus Security best practices for authentication, authorization, JWT/OIDC, RBAC, input validation, CSRF, secrets management, and dependency security.
quarkus-tdd	Test-driven development for Quarkus 3.x LTS using JUnit 5, Mockito, REST Assured, Camel testing, and JaCoCo.
quarkus-verification	Verification loop for Quarkus projects: build, static analysis, tests with coverage, security scans, native compilation, and diff review before release or PR.
ralphinho-rfc-pipeline	RFC-driven multi-agent DAG execution pattern with quality gates, merge queues, and work unit orchestration.
react-native-patterns	React Native and Expo app patterns — Expo Router navigation, state separation (server/client/route/form), TanStack Query data fetching with Zod, performant list
react-patterns	React 18/19 patterns including hooks discipline, server/client component boundaries, Suspense + error boundaries, form actions, data fetching, state management 
react-performance	React and Next.js performance optimization patterns adapted from Vercel Engineering's React Best Practices (https://github.com/vercel-labs/agent-skills).
react-testing	React component testing with React Testing Library, Vitest/Jest, MSW for network mocking, accessibility assertions with axe, and the decision boundary between c
recsys-pipeline-architect	Design composable recommendation, ranking, and feed pipelines using the six-stage Source→Hydrator→Filter→Scorer→Selector→SideEffect framework popularized by xAI
recursive-decision-ledger	Use when the user asks for repeated rollouts, marked decision processes, high-dimensional search, stochastic optimization, local-optima exploration, ensemble co
redis-patterns	Redis data structure patterns, caching strategies, distributed locks, rate limiting, pub/sub, and connection management for production applications.
regex-vs-llm-structured-text	Decision framework for choosing between regex and LLM when parsing structured text — start with regex, add LLM only for low-confidence edge cases.
remotion-video-creation	Best practices for Remotion - Video creation in React.
repo-scan	Cross-stack source code asset audit — classifies every file, detects embedded third-party libraries, and delivers actionable four-level verdicts per module with
research-ops	Evidence-first current-state research workflow for ECC.
returns-reverse-logistics	Codified expertise for returns authorization, receipt and inspection, disposition decisions, refund processing, fraud detection, and warranty claims management.
rules-distill	Scan skills to extract cross-cutting principles and distill them into rules — append, revise, or create new rule files
rust-patterns	Idiomatic Rust patterns, ownership, error handling, traits, concurrency, and best practices for building safe, performant applications.
rust-testing	Rust testing patterns including unit tests, integration tests, async testing, property-based testing, mocking, and coverage.
safety-guard	Use this skill to prevent destructive operations when working on production systems or running agents autonomously.
santa-method	Multi-agent adversarial verification with convergence loop.
scientific-db-pubmed-database	Direct PubMed and NCBI E-utilities search workflows for biomedical literature, MeSH queries, PMID lookup, citation retrieval, and API-backed literature monitori
scientific-db-uspto-database	USPTO patent and trademark data workflow for official record lookup, PatentSearch queries, TSDR checks, assignment data, and reproducible IP research logs.
scientific-pkg-gget	gget CLI and Python workflow for quick genomic database queries, sequence lookup, BLAST-style searches, enrichment checks, and reproducible bioinformatics evide
scientific-thinking-literature-review	Systematic literature-review workflow for academic, biomedical, technical, and scientific topics, including search planning, source screening, synthesis, citati
scientific-thinking-scholar-evaluation	Structured scholarly-work evaluation for papers, proposals, literature reviews, methods sections, evidence quality, citation support, and research-writing feedb
search-first	Research-before-coding workflow.
security-bounty-hunter	Hunt for exploitable, bounty-worthy security issues in repositories.
security-review	Use this skill when adding authentication, handling user input, working with secrets, creating API endpoints, or implementing payment/sensitive features.
security-scan	Scan your Claude Code configuration (.claude/ directory) for security vulnerabilities, misconfigurations, and injection risks using AgentShield.
seo	Audit, plan, and implement SEO improvements across technical SEO, on-page optimization, structured data, Core Web Vitals, and content strategy.
skill-comply	Visualize whether skills, rules, and agent definitions are actually followed — auto-generates scenarios at 3 prompt strictness levels, runs agents, classifies b
skill-scout	Search existing local, marketplace, GitHub, and web skill sources before creating a new skill.
skill-stocktake	Use when auditing Claude skills and commands for quality.
social-graph-ranker	Weighted social-graph ranking for warm intro discovery, bridge scoring, and network gap analysis across X and LinkedIn.
social-publisher	Agent-driven scheduling and publishing of social media posts across 13 platforms via SocialClaw.
springboot-patterns	Spring Boot architecture patterns, REST API design, layered services, data access, caching, async processing, and logging.
springboot-security	Spring Security best practices for authn/authz, validation, CSRF, secrets, headers, rate limiting, and dependency security in Java Spring Boot services.
springboot-tdd	Test-driven development for Spring Boot using JUnit 5, Mockito, MockMvc, Testcontainers, and JaCoCo.
springboot-verification	Verification loop for Spring Boot projects: build, static analysis, tests with coverage, security scans, and diff review before release or PR.
strategic-compact	Suggests manual context compaction at logical intervals to preserve context through task phases rather than arbitrary auto-compaction.
swift-actor-persistence	Thread-safe data persistence in Swift using actors — in-memory cache with file-backed storage, eliminating data races by design.
swift-concurrency-6-2	Swift 6.2 Approachable Concurrency — single-threaded by default, @concurrent for explicit background offloading, isolated conformances for main actor types.
swift-protocol-di-testing	Protocol-based dependency injection for testable Swift code — mock file system, network, and external APIs using focused protocols and Swift Testing.
swiftui-patterns	SwiftUI architecture patterns, state management with @Observable, view composition, navigation, performance optimization, and modern iOS/macOS UI best practices
taste	A creative-direction (taste) layer for music videos and short-form edits in the angelcore / cloud-trance / hyperpop visual family.
tdd-workflow	Use this skill when writing new features, fixing bugs, or refactoring code.
team-agent-orchestration	Run team-based orchestration for agent squads using work items, ownership, agent Kanban, merge gates, and control pane handoffs.
team-builder	Interactive agent picker for composing and dispatching parallel teams
terminal-ops	Evidence-first repo execution workflow for ECC.
tinystruct-patterns	Expert guidance for developing with the tinystruct Java framework.
token-budget-advisor	- Offers the user an informed choice about how much response depth to consume before answering.
ui-demo	Record polished UI demo videos using Playwright.
ui-to-vue	Use when the user has UI screenshots or design exports that need batch conversion into Vue 3 components, especially with Vant, Element Plus, or Ant Design Vue.
uncloud	Use when managing an Uncloud cluster — deploying services, configuring Caddy ingress, adding static proxy routes for non-cluster devices, publishing ports, scal
unified-notifications-ops	Operate notifications as one ECC-native workflow across GitHub, Linear, desktop alerts, hooks, and connected communication surfaces.
verification-loop	A comprehensive verification system for Claude Code sessions.
video-editing	AI-assisted video editing workflows for cutting, structuring, and augmenting real footage.
videodb	See, Understand, Act on video and audio.
visa-doc-translate	Translate visa application documents (images) to English and create a bilingual PDF with original and translation
